,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
42,lisa,"asish maity, nivedita bhattacharyya sahu",a comparative study of journal of documentation and journal of knowledge management during the period 2005 2015,A comparative study of Journal of documentation and Journal of knowledge Management during the period 2005-2015,library philosophy and practice,"research , author productivity , dictionaries , citations , collaboration , science , information literacy , documentation , library and information science , neurosciences , bibliographic literature , publication output , journals , solar energy , bibliometrics , studies , publications , knowledge management , bibliographic control , information seeking behavior , authorship , data bases , libraries , bradford's law of scatter , lotka's law , united kingdom--uk , united states--us , india , china",2019,English,
44,lisa,"jenny wooldridge, mike b king",altmetric scores an early indicator of research impact,Altmetric scores: An early indicator of research impact,journal of the association for information science and technology,"quality assessment , bibliometrics , informetrics",2019,English,10.1002/asi.24122
45,lisa,jane cho,subject analysis of lis data archived in a figshare using co occurrence analysis,Subject analysis of LIS data archived in a Figshare using co-occurrence analysis,online information review,"research , astrophysics , citations , peer review , metadata , linked data , information literacy , information sharing , life sciences , citation analysis , researchers , data analysis , semantic web , scholarly publishing , domains , social sciences , open access , data analysis , open data , bibliometrics , studies , social networks , archives & records , repositories , librarians , algorithms , informetrics , education , semantics , institutional repositories , japan",2019,English,10.1108/oir-12-2017-0369
47,lisa,"n k sheeja, susan k mathew",researchgate profiles of naval architecture scientists in india an altmetric analysis,ResearchGate Profiles of Naval Architecture Scientists in India: An Altmetric Analysis,library philosophy and practice,"citations , scientists , collaboration , webometrics , attorneys , books , researchers , scholarly publishing , research & development--r&d , hirsch index , social research , construction , architecture , ships , scientometrics , bibliometrics , naval engineering , architectural engineering , studies , publications , social networks , scholars , engineering , informetrics , scholarly communication , india , singapore , china",2019,English,
48,lisa,"zequan xiong, yufeng duan",evaluating the impact of books in chinese studies a case study of books authored by ucla scholars,Evaluating the impact of books in Chinese Studies: A case study of books authored by UCLA scholars,malaysian journal of library information science,"bibliometrics , informetrics , asian studies , los angeles california",2019,English,10.22452/mjlis.vol24no3.2
49,lisa,"jyotshna sahoo, basudev mohanty, oshin biswal, nrusingh kumar dash, jayanta kumar sahu",authorship trend and content analysis,Authorship trend and content analysis,performance measurement and metrics,"research methodology , authoring , journals , scientometrics , science , journals , bibliometrics , citation indexes , studies , cooperation , knowledge management , content analysis , library and information science , scholars , productivity , authorship , librarians , researchers , impact factors , libraries , united states--us",2019,English,10.1108/pmm-06-2019-0021
50,lisa,"ahmad khurshid, arslan sheikh, muhammad rafi",scholarly research in library and information science an analysis based on isi web of science,Scholarly research in Library and Information Science: an analysis based on ISI Web of Science,performance measurement and metrics,"author productivity , libraries , journals , collaboration , trends , scientific papers , documents , library and information science , scholarly publishing",2019,English,10.1108/pmm-06-2019-0024
51,lisa,"amanda b click, rachel borchardt",library supported open access funds criteria impact and viability,"Library Supported Open Access Funds: Criteria, Impact, and Viability",evidence based library and information practice,"bibliometrics , libraries , open access , academic publications",2019,English,10.18438/eblip29623
52,lisa,"carlos olmeda-gomez, antonio perianes-rodriguez",altmetrics as a research specialty dimensions 2005 2018,"Altmetrics as a research specialty (Dimensions, 2005-2018)",el profesional de la informacion,"social networks , open data , citations , bibliometrics , bibliographic data bases , informetrics",2019,English,10.3145/epi.2019.nov.08
53,lisa,kishor john,journals on information literacy citation analysis and social impact metrics,Journals on Information Literacy: Citation Analysis and Social Impact Metrics,the serials librarian,"social networks , library and information science , citation analysis , user training , journals , bibliometrics , information literacy , social research",2019,English,10.1080/0361526x.2019.1641457
