,base,authors_l,title_l,title,journal_l,keywords_l,year,language,doi
3,wos,"je kim, y kim, km park, dy yoon, js bae",top 100 publications as measured by altmetrics in field central nervous system inflammatory demyelinating disease,Top 100 Publications as Measured by Altmetrics in the Field of Central Nervous System Inflammatory Demyelinating Disease,biomed research international,,2019,English,10.1155/2019/3748091
4,wos,"ap nocera, cj boyd, h boudreau, o hakim, s rais-bahrami",examining correlation between altmetric score citations in urology literature,Examining the Correlation Between Altmetric Score and Citations in the Urology Literature,urology,,2019,English,10.1016/j.urology.2019.09.014
7,wos,"a ouchi, mk saberi, n ansari, l hashempour, a isfandyari-moghaddam",do altmetrics correlate with citations a study based on 1 000 most cited articles,"Do altmetrics correlate with citations? A study based on the 1,000 most-cited articles",information discovery and delivery,"alternative metrics, altmetrics, bibliometrics, highly cited articles, nature, social media",2019,English,10.1108/idd-07-2019-0050
8,wos,ae williams,exploring utility an emerging altmetric platform a swot analysis plum analytics,Exploring the utility of an emerging altmetric platform: a SWOT analysis of Plum Analytics,digital library perspectives,,2019,English,10.1108/dlp-08-2019-0031
9,wos,"yf zhou, jc na",a comparative analysis twitter users who tweeted on psychology political science journal articles,A comparative analysis of Twitter users who Tweeted on psychology and political science journal articles,online information review,"machine learning, political science, psychology, scholarly communication, twitter user profile",2019,English,10.1108/oir-03-2019-0097
12,wos,"c olmeda-gomez, a perianes-rodriguez",altmetrics as a research specialty dimensions 2005 2018,"Altmetrics as a research specialty (Dimensions, 2005-2018)",profesional de la informacion,"altmetrics, authors, citation, citation network analysis, citespace, co-citation analysis, dimensions, indicators, scholarly communication, scholarly social media, science mapping, scientific journals, visualization of citation networks",2019,English,10.3145/epi.2019.nov.08
13,wos,"p kokol, hb vosner",historical descriptive exploratory analysis application bibliometrics in nursing research,"Historical, descriptive and exploratory analysis of application of bibliometrics in nursing research",nursing outlook,"bibliometrics, historical roots, nursing research, papers as topics, thematic analysis",2019,English,10.1016/j.outlook.2019.04.009
16,wos,hd daniel,lutz bornmann recipient 2019 derek john solla price medal,Lutz Bornmann: Recipient of the 2019 Derek John de Solla Price Medal,scientometrics,,2019,English,10.1007/s11192-019-03251-4
17,wos,"awk yeung, ys ho",highly cited dental articles their authors an evaluation publication citation characteristics,Highly cited dental articles and their authors: An evaluation of publication and citation characteristics,journal of investigative and clinical dentistry,"bibliometric, citation, classic article, implant, web of science",2019,English,10.1111/jicd.12462
18,wos,"m tulchinsky, ab brill",spotlight on association radioactive iodine treatment with cancer mortality in patients with hyperthyroidism is keeping highest risk from antithyroid drugs in blind spot,Spotlight on the Association of Radioactive Iodine Treatment With Cancer Mortality in Patients With Hyperthyroidism is Keeping the Highest Risk From Antithyroid Drugs in the Blind Spot,clinical nuclear medicine,"adverse effects, hyperthyroidism, iodine radioisotopes, neoplasms, radiation-induced, radioactive iodine, retrospective studies, therapeutic use",2019,English,10.1097/rlu.0000000000002792
19,wos,"rr munoz, ars castro, jll gonzalez",strategies for indexation academic journals in applied sciences,STRATEGIES FOR THE INDEXATION OF ACADEMIC JOURNALS IN APPLIED SCIENCES,revista universidad y sociedad,"indexed journals, scientific article, strategies, universities",2019,Spanish,
20,wos,"a meseguer-martinez, a ros-galvez, a rosa-garcia",linking youtube university rankings research performance as predictor online video impact,Linking YouTube and university rankings: Research performance as predictor of online video impact,telematics and informatics,"academic research, h-index, online video, rankings, world-class universities",2019,English,10.1016/j.tele.2019.101264
21,wos,mam eldakar,who reads international egyptian academic articles an altmetrics analysis mendeley readership categories,Who reads international Egyptian academic articles? An altmetrics analysis of Mendeley readership categories,scientometrics,"altmetrics, egyptian research, mendeley, readership analysis, research impact",2019,English,10.1007/s11192-019-03189-7
